 Title, Isbn, CcbcCollection, Genres, Publisher, Subject, Contributors, ContributorTypes, Contributor Identity
We're in This Together,9.78153E+12,Non-Fiction,Biography/History,Salaam Reads / Simon & Schuster,"Arab, Asian, Middle East, Muslim",Linda Sarsour,Author,"Arab, Asian, Female, Middle East, Muslim (Linda Sarsour)"
What Are You?,9.78125E+12,Picture Book,Animal Fantasy,Roaring Brook,,"Christian Trimmer, Mike Curato","Author, Illustrator","Asian, LGBTQ, Male, Multiracial (Christian Trimmer), Asian, LGBTQ, Male (Mike Curato)"
What Souls Are Made Of: A Wuthering Heights Remix,9.78125E+12,Fiction,Historical,Feiwel and Friends / Macmillan,Asian,Tasha Suri,Author,"Asian, Female (Tasha Suri)"
What the Fact? Finding the Truth in All the Noise,9.78167E+12,Non-Fiction,,Simon & Schuster,,Seema Yasmin,Author,"Asian, Female, Middle East, Muslim (Seema Yasmin)"
What's Inside the Easter Egg,9.78167E+12,Picture Book,"Animal Fantasy, Board Book",Little Simon / Simon & Schuster,Christian,"Cindy Jin, Fiona Dulieu","Author, Illustrator","Asian, Female (Cindy Jin), Female, Heritage Unknown (Fiona Dulieu)"
When Dinosaurs Conquered the Skies: The Incredible Story of Bird Evolution,9.78071E+12,Non-Fiction,Natural World,Quarto / words & pictures,,"Jingmai O'Connor, Maria Brzozowska","Author, Illustrator","Asian, Female (Jingmai O'Connor), Female, White (Maria Brzozowska)"
When the Sakura Bloom,9.78065E+12,Picture Book,Contemporary,Berbay,Asian,"Narisa Togo, Narisa Togo, Michael Sedunary","Author, Illustrator, Translator","Asian, Female (Narisa Togo), Asian, Female (Narisa Togo), Male, White (Michael Sedunary)"
When Words Have Power,9.78151E+12,Picture Book,Contemporary,West Margin,Asian,"Lisa Chong, Kaitlin Yang","Author, Illustrator","Asian, Female (Lisa Chong), Asian, Female (Kaitlin Yang)"
"Where Butterflies Fill the Sky: A Story of Immigration, Family, and Finding Home",9.78155E+12,Picture Book,Contemporary,Bloomsbury,"Arab, Asian, Middle East","Zahra Marwan, Zahra Marwan","Author, Illustrator","Arab, Asian, Female, Middle East (Zahra Marwan), Arab, Asian, Female, Middle East (Zahra Marwan)"
Where Is Bina Bear?,9.78125E+12,Picture Book,Animal Fantasy,Godwin Books / Henry Holt / Macmillan,,"Mike Curato, Mike Curato","Author, Illustrator","Asian, LGBTQ, Male (Mike Curato), Asian, LGBTQ, Male (Mike Curato)"
Where the Lost Ones Go,9.78037E+12,Fiction,Fantasy,Farrar Straus Giroux / Macmillan,"Asian, LGBTQ Character/Topic",Akemi Dawn Bowman,Author,"Asian, Female, Multiracial (Akemi Dawn Bowman)"
Where the Sky Lives,9.78006E+12,Fiction,Contemporary,Balzer + Bray / HarperCollins,Cognitive/Neurological,Margaret Dilloway,Author,"Asian, Female (Margaret Dilloway)"
Where We Come From,9.78154E+12,Non-Fiction,Biography/History,Carolrhoda / Lerner,"Asian, Black/African, Indigenous","Diane Wilson, Sun Yung Shin, Shannon Gibney, John Coy, Dion MBD","Author, Illustrator","Female, Indigenous (Diane Wilson), Asian, Female (Sun Yung Shin), Black/African, Female (Shannon Gibney), Male, White (John Coy), Asian, Male (Dion MBD)"
"Who Are You? A Joyful Celebration of the Pieces, Places, and People That Make Us Who We Are",9.78168E+12,Picture Book,Contemporary,EDC / Kane Miller,Multicultural General,"Smriti Halls, Ali Pye","Author, Illustrator","Asian, Female (Smriti Halls), Female, White (Ali Pye)"
Who Is Chloe Kim? (Who HQ),9.78059E+12,Non-Fiction,"Biography/History, Series Non-fiction",Penguin Random House / Penguin Workshop,Asian,"Stefani Loh, Manuel Gutierrez","Author, Illustrator","Asian, Female (Stefani Loh), Latinx, Male (Manuel Gutierrez)"
Whose Bones Are Those?,9.78154E+12,Non-Fiction,,Candlewick / Candlewick Studio,,"Chihiro Takeuchi, Chihiro Takeuchi","Author, Illustrator","Asian, Female (Chihiro Takeuchi), Asian, Female (Chihiro Takeuchi)"
Willpower,9.78146E+12,Fiction,Science Fiction,Orca,Asian,Marty Chan,Author,"Asian, Male (Marty Chan)"
Wingbearer,9.78006E+12,Non-Fiction,"Fantasy, Graphic Novel",HarperAlley / HarperCollins / Quill Tree,Black/African,"Marjorie Liu, Teny Issakhanian","Author, Illustrator","Asian, Female, Multiracial (Marjorie Liu), Asian, Female (Teny Issakhanian)"
Winnie Zeng Unleashes a Legend,9.78059E+12,Fiction,Fantasy,Random House,Asian,Katie Zhao,Author,"Asian, Female (Katie Zhao)"
Wishing Upon the Same Stars,9.78006E+12,Fiction,Contemporary,Harper / HarperCollins,"Arab, Asian, Christian, Middle East",Jacquetta Nammar Feldman,Author,"Arab, Asian, Female, Middle East, Multiracial (Jacquetta Nammar Feldman)"
Year of the Cat,9.78006E+12,Picture Book,,Greenwillow / HarperCollins,Asian,"Richard Ho, Jocelyn Li Langrand","Author, Illustrator","Asian, Male (Richard Ho), Asian, Female (Jocelyn Li Langrand)"
Yes We Will: Asian Americans Who Shaped This Country,9.78059E+12,Non-Fiction,Biography/History,Dial / Penguin Random House,Asian,"Kelly Yang, Nabi H. Ali, Fahmida Azim, Marcos Chin, Sally Deng, Shreya Gupta, Julia Kuo, Julie Kwon, Nhung Le, Kitkat Pecson, Dow Phumiruk, Sujean Rim, Dan Santat, Yuko Shimizu, Yao Xiao, Yuewei Shi","Author, Illustrator","Asian, Female (Kelly Yang), Asian, Male, Muslim (Nabi H. Ali), Asian, Female (Fahmida Azim), Asian, LGBTQ, Male (Marcos Chin), Asian, Female (Sally Deng), Asian, Female (Shreya Gupta), Asian, Female (Julia Kuo), Asian, Female (Julie Kwon), Asian, Female (Nhung Le), Asian, Female (Kitkat Pecson), Asian, Female (Dow Phumiruk), Asian, Female (Sujean Rim), Asian, Male (Dan Santat), Asian, Female (Yuko Shimizu), Asian, Female (Yao Xiao), Asian, Female (Yuewei Shi)"
You Are My Favorite Color,9.78059E+12,Picture Book,Contemporary,Penguin Random House / Philomel,Brown Skin Unspecified,"Gillian Sze, Nina Mata","Author, Illustrator","Asian, Female (Gillian Sze), Asian, Female (Nina Mata)"
You Are Not Alone,9.78173E+12,Picture Book,Contemporary,Sourcebooks / Sourcebooks eXplore,"Black/African, Multicultural General","Alphabet Rockers, Ashley Evans","Author, Illustrator","Asian, BIPOC Unspecified, Black/African, Female, Latinx, Male, Other Gender ( Alphabet Rockers), Black/African, Female (Ashley Evans)"
You Are So Much More: An Inspiration for Children Healing from Illness or Injury,9.78162E+12,Picture Book,Contemporary,Loving Healing,"Brown Skin Unspecified, Physical","Serena Tejpar, Anoosha Lalani, Iman Tejpar","Author, Illustrator","Asian, Female (Serena Tejpar), Asian, Female (Anoosha Lalani), Asian, Female (Iman Tejpar)"
"Zachary Ying and the Dragon Emperor (Zachary Ying, #1)",9.78167E+12,Fiction,"Fantasy, Series Fiction",Margaret K. McElderry Books / Simon & Schuster,"Asian, Muslim",Xiran Jay Zhao,Author,"Asian, LGBTQ, Other Gender, Transgender (Xiran Jay Zhao)"
Zahra's Blessing: A Ramadan Story,9.78165E+12,Picture Book,Contemporary,Barefoot,"Asian, Brown Skin Unspecified, Muslim","Shirin Shamsi, Manal Mirza","Author, Illustrator","Asian, Female, Muslim (Shirin Shamsi), Asian, Female, Muslim (Manal Mirza)"
"Zara's Rules for Finding Hidden Treasures (Zara's Rules, #2)",9.78153E+12,Fiction,"Contemporary, Series Fiction",Salaam Reads / Simon & Schuster,"Asian, Muslim","Hena Khan, Wastana Haikal","Author, Illustrator","Asian, Female, Muslim (Hena Khan), Asian, Female (Wastana Haikal)"
Zara's Rules for Record Breaking Fun,9.78153E+12,Fiction,Contemporary,Salaam Reads / Simon & Schuster,"Asian, Jewish, Muslim","Hena Khan, Wastana Haikal","Author, Illustrator","Asian, Female, Muslim (Hena Khan), Asian, Female (Wastana Haikal)"
